"details","numbers","time"
"Total domains renewed within 24 Hours","46","1466262006.0754"
"Total domains renewed within 30 Days","2737","1466262006.0754"
"Total domains","58729","1466269206.22639"
"Total domains registered within 24 hours","56","1466269206.22639"
"Total domains registered within 30 Days","2270","1466269206.22639"
"Total domains renewed within 24 Hours","40","1466269206.22639"
"Total domains renewed within 30 Days","2738","1466269206.22639"
"Total domains","58732","1466276405.93159"
"Total domains registered within 24 hours","54","1466276405.93159"
"Total domains registered within 30 Days","2267","1466276405.93159"
"Total domains renewed within 24 Hours","40","1466276405.93159"
"Total domains renewed within 30 Days","2738","1466276405.93159"
"Total domains","58735","1466283606.04241"
"Total domains registered within 24 hours","52","1466283606.04241"
"Total domains registered within 30 Days","2268","1466283606.04241"
"Total domains renewed within 24 Hours","39","1466283606.04241"
"Total domains renewed within 30 Days","2736","1466283606.04241"
"Total domains","58735","1466290807.07024"
"Total domains registered within 24 hours","52","1466290807.07024"
"Total domains registered within 30 Days","2267","1466290807.07024"
"Total domains renewed within 24 Hours","39","1466290807.07024"
"Total domains renewed within 30 Days","2735","1466290807.07024"
"Total domains","58736","1466298006.4864"
"Total domains registered within 24 hours","53","1466298006.4864"
"Total domains registered within 30 Days","2268","1466298006.4864"
"Total domains renewed within 24 Hours","39","1466298006.4864"
"Total domains renewed within 30 Days","2735","1466298006.4864"
"Total domains","58672","1466305206.21798"
"Total domains registered within 24 hours","53","1466305206.21798"
"Total domains registered within 30 Days","2268","1466305206.21798"
"Total domains renewed within 24 Hours","39","1466305206.21798"
"Total domains renewed within 30 Days","2735","1466305206.21798"
"Total domains","58674","1466312406.42804"
"Total domains registered within 24 hours","53","1466312406.42804"
"Total domains registered within 30 Days","2266","1466312406.42804"
"Total domains renewed within 24 Hours","40","1466312406.42804"
"Total domains renewed within 30 Days","2734","1466312406.42804"
"Total domains","58675","1466319606.04917"
"Total domains registered within 24 hours","44","1466319606.04917"
"Total domains registered within 30 Days","2257","1466319606.04917"
"Total domains renewed within 24 Hours","38","1466319606.04917"
"Total domains renewed within 30 Days","2722","1466319606.04917"
"Total domains","58677","1466326806.15817"
"Total domains registered within 24 hours","26","1466326806.15817"
"Total domains registered within 30 Days","2243","1466326806.15817"
"Total domains renewed within 24 Hours","30","1466326806.15817"
"Total domains renewed within 30 Days","2706","1466326806.15817"
"Total domains","58678","1466334005.97189"
"Total domains registered within 24 hours","18","1466334005.97189"
"Total domains registered within 30 Days","2228","1466334005.97189"
"Total domains renewed within 24 Hours","17","1466334005.97189"
"Total domains renewed within 30 Days","2693","1466334005.97189"
"Total domains","58678","1466341205.5787"
"Total domains registered within 24 hours","16","1466341205.5787"
"Total domains registered within 30 Days","2209","1466341205.5787"
"Total domains renewed within 24 Hours","9","1466341205.5787"
"Total domains renewed within 30 Days","2669","1466341205.5787"
"Total domains","58682","1466348405.83126"
"Total domains registered within 24 hours","17","1466348405.83126"
"Total domains registered within 30 Days","2201","1466348405.83126"
"Total domains renewed within 24 Hours","8","1466348405.83126"
"Total domains renewed within 30 Days","2648","1466348405.83126"
"Total domains","58686","1466355606.47378"
"Total domains registered within 24 hours","21","1466355606.47378"
"Total domains registered within 30 Days","2202","1466355606.47378"
"Total domains renewed within 24 Hours","7","1466355606.47378"
"Total domains renewed within 30 Days","2646","1466355606.47378"
"Total domains","58687","1466362806.15662"
"Total domains registered within 24 hours","19","1466362806.15662"
"Total domains registered within 30 Days","2196","1466362806.15662"
"Total domains renewed within 24 Hours","6","1466362806.15662"
"Total domains renewed within 30 Days","2646","1466362806.15662"
"Total domains","58689","1466370006.00963"
"Total domains registered within 24 hours","18","1466370006.00963"
"Total domains registered within 30 Days","2195","1466370006.00963"
"Total domains renewed within 24 Hours","10","1466370006.00963"
"Total domains renewed within 30 Days","2649","1466370006.00963"
"Total domains","58690","1466377207.17541"
"Total domains registered within 24 hours","19","1466377207.17541"
"Total domains registered within 30 Days","2196","1466377207.17541"
"Total domains renewed within 24 Hours","11","1466377207.17541"
"Total domains renewed within 30 Days","2650","1466377207.17541"
"Total domains","58691","1466384406.41165"
"Total domains registered within 24 hours","19","1466384406.41165"
"Total domains registered within 30 Days","2197","1466384406.41165"
"Total domains renewed within 24 Hours","12","1466384406.41165"
"Total domains renewed within 30 Days","2651","1466384406.41165"
"Total domains","58620","1466391606.07139"
"Total domains registered within 24 hours","20","1466391606.07139"
"Total domains registered within 30 Days","2198","1466391606.07139"
"Total domains renewed within 24 Hours","12","1466391606.07139"
"Total domains renewed within 30 Days","2651","1466391606.07139"
"Total domains","58620","1466398805.71404"
"Total domains registered within 24 hours","18","1466398805.71404"
"Total domains registered within 30 Days","2198","1466398805.71404"
"Total domains renewed within 24 Hours","11","1466398805.71404"
"Total domains renewed within 30 Days","2651","1466398805.71404"
"Total domains","58623","1466406006.20138"
"Total domains registered within 24 hours","20","1466406006.20138"
"Total domains registered within 30 Days","2201","1466406006.20138"
"Total domains renewed within 24 Hours","19","1466406006.20138"
"Total domains renewed within 30 Days","2659","1466406006.20138"
"Total domains","58641","1466413206.93692"
"Total domains registered within 24 hours","36","1466413206.93692"
"Total domains registered within 30 Days","2219","1466413206.93692"
"Total domains renewed within 24 Hours","42","1466413206.93692"
"Total domains renewed within 30 Days","2682","1466413206.93692"
"Total domains","58660","1466420406.64586"
"Total domains registered within 24 hours","55","1466420406.64586"
"Total domains registered within 30 Days","2219","1466420406.64586"
"Total domains renewed within 24 Hours","67","1466420406.64586"
"Total domains renewed within 30 Days","2698","1466420406.64586"
"Total domains","58675","1466427607.66191"
"Total domains registered within 24 hours","70","1466427607.66191"
"Total domains registered within 30 Days","2219","1466427607.66191"
"Total domains renewed within 24 Hours","83","1466427607.66191"
"Total domains renewed within 30 Days","2708","1466427607.66191"
"Total domains","58690","1466434806.78161"
"Total domains registered within 24 hours","81","1466434806.78161"
"Total domains registered within 30 Days","2221","1466434806.78161"
"Total domains renewed within 24 Hours","93","1466434806.78161"
"Total domains renewed within 30 Days","2719","1466434806.78161"
"Total domains","58694","1466442006.96122"
"Total domains registered within 24 hours","81","1466442006.96122"
"Total domains registered within 30 Days","2219","1466442006.96122"
"Total domains renewed within 24 Hours","95","1466442006.96122"
"Total domains renewed within 30 Days","2720","1466442006.96122"
"Total domains","58696","1466449208.64214"
"Total domains registered within 24 hours","82","1466449208.64214"
"Total domains registered within 30 Days","2221","1466449208.64214"
"Total domains renewed within 24 Hours","97","1466449208.64214"
"Total domains renewed within 30 Days","2722","1466449208.64214"
"Total domains","58696","1466456406.22855"
"Total domains registered within 24 hours","80","1466456406.22855"
"Total domains registered within 30 Days","2220","1466456406.22855"
"Total domains renewed within 24 Hours","98","1466456406.22855"
"Total domains renewed within 30 Days","2727","1466456406.22855"
"Total domains","58700","1466463606.40426"
"Total domains registered within 24 hours","83","1466463606.40426"
"Total domains registered within 30 Days","2224","1466463606.40426"
"Total domains renewed within 24 Hours","101","1466463606.40426"
"Total domains renewed within 30 Days","2731","1466463606.40426"
"Total domains","58700","1466470806.47687"
"Total domains registered within 24 hours","82","1466470806.47687"
"Total domains registered within 30 Days","2223","1466470806.47687"
"Total domains renewed within 24 Hours","100","1466470806.47687"
"Total domains renewed within 30 Days","2731","1466470806.47687"
"Total domains","58639","1466478005.89783"
"Total domains registered within 24 hours","81","1466478005.89783"
"Total domains registered within 30 Days","2223","1466478005.89783"
"Total domains renewed within 24 Hours","100","1466478005.89783"
"Total domains renewed within 30 Days","2731","1466478005.89783"
"Total domains","58640","1466485206.61334"
"Total domains registered within 24 hours","82","1466485206.61334"
"Total domains registered within 30 Days","2224","1466485206.61334"
"Total domains renewed within 24 Hours","101","1466485206.61334"
"Total domains renewed within 30 Days","2732","1466485206.61334"
"Total domains","58648","1466492406.13034"
"Total domains registered within 24 hours","87","1466492406.13034"
"Total domains registered within 30 Days","2231","1466492406.13034"
"Total domains renewed within 24 Hours","109","1466492406.13034"
"Total domains renewed within 30 Days","2746","1466492406.13034"
"Total domains","58663","1466499605.61641"
"Total domains registered within 24 hours","84","1466499605.61641"
"Total domains registered within 30 Days","2244","1466499605.61641"
"Total domains renewed within 24 Hours","105","1466499605.61641"
"Total domains renewed within 30 Days","2765","1466499605.61641"
"Total domains","58683","1466506805.96008"
"Total domains registered within 24 hours","83","1466506805.96008"
"Total domains registered within 30 Days","2255","1466506805.96008"
"Total domains renewed within 24 Hours","101","1466506805.96008"
"Total domains renewed within 30 Days","2781","1466506805.96008"
"Total domains","58700","1466514006.68165"
"Total domains registered within 24 hours","86","1466514006.68165"
"Total domains registered within 30 Days","2270","1466514006.68165"
"Total domains renewed within 24 Hours","98","1466514006.68165"
"Total domains renewed within 30 Days","2792","1466514006.68165"
"Total domains","58713","1466521206.2049"
"Total domains registered within 24 hours","84","1466521206.2049"
"Total domains registered within 30 Days","2280","1466521206.2049"
"Total domains renewed within 24 Hours","102","1466521206.2049"
"Total domains renewed within 30 Days","2807","1466521206.2049"
"Total domains","58721","1466528406.83076"
"Total domains registered within 24 hours","88","1466528406.83076"
"Total domains registered within 30 Days","2285","1466528406.83076"
"Total domains renewed within 24 Hours","102","1466528406.83076"
"Total domains renewed within 30 Days","2810","1466528406.83076"
"Total domains","58730","1466535607.79652"
"Total domains registered within 24 hours","95","1466535607.79652"
"Total domains registered within 30 Days","2291","1466535607.79652"
"Total domains renewed within 24 Hours","103","1466535607.79652"
"Total domains renewed within 30 Days","2811","1466535607.79652"
"Total domains","58734","1466542807.64328"
"Total domains registered within 24 hours","100","1466542807.64328"
"Total domains registered within 30 Days","2294","1466542807.64328"
"Total domains renewed within 24 Hours","99","1466542807.64328"
"Total domains renewed within 30 Days","2810","1466542807.64328"
"Total domains","58735","1466550007.10553"
"Total domains registered within 24 hours","97","1466550007.10553"
"Total domains registered within 30 Days","2293","1466550007.10553"
"Total domains renewed within 24 Hours","97","1466550007.10553"
"Total domains renewed within 30 Days","2812","1466550007.10553"
"Total domains","58735","1466557206.53099"
"Total domains registered within 24 hours","97","1466557206.53099"
"Total domains registered within 30 Days","2293","1466557206.53099"
"Total domains renewed within 24 Hours","98","1466557206.53099"
"Total domains renewed within 30 Days","2812","1466557206.53099"
"Total domains","58678","1466564406.85171"
"Total domains registered within 24 hours","98","1466564406.85171"
"Total domains registered within 30 Days","2294","1466564406.85171"
"Total domains renewed within 24 Hours","98","1466564406.85171"
"Total domains renewed within 30 Days","2812","1466564406.85171"
"Total domains","58679","1466571605.67838"
"Total domains registered within 24 hours","98","1466571605.67838"
"Total domains registered within 30 Days","2295","1466571605.67838"
"Total domains renewed within 24 Hours","98","1466571605.67838"
"Total domains renewed within 30 Days","2812","1466571605.67838"
"Total domains","58694","1466578806.65547"
"Total domains registered within 24 hours","105","1466578806.65547"
"Total domains registered within 30 Days","2303","1466578806.65547"
"Total domains renewed within 24 Hours","103","1466578806.65547"
"Total domains renewed within 30 Days","2817","1466578806.65547"
"Total domains","58709","1466586005.57148"
"Total domains registered within 24 hours","105","1466586005.57148"
"Total domains registered within 30 Days","2304","1466586005.57148"
"Total domains renewed within 24 Hours","104","1466586005.57148"
"Total domains renewed within 30 Days","2825","1466586005.57148"
"Total domains","58720","1466593206.7295"
"Total domains registered within 24 hours","96","1466593206.7295"
"Total domains registered within 30 Days","2299","1466593206.7295"
"Total domains renewed within 24 Hours","97","1466593206.7295"
"Total domains renewed within 30 Days","2830","1466593206.7295"
"Total domains","58732","1466600406.08172"
"Total domains registered within 24 hours","91","1466600406.08172"
