"details","numbers","time"
"Total domains","59909","1469415605.76337"
"Total domains registered within 24 hours","22","1469415605.76337"
"Total domains registered within 30 Days","2286","1469415605.76337"
"Total domains renewed within 24 Hours","13","1469415605.76337"
"Total domains renewed within 30 Days","2362","1469415605.76337"
"Total domains","59911","1469422806.29244"
"Total domains registered within 24 hours","24","1469422806.29244"
"Total domains registered within 30 Days","2287","1469422806.29244"
"Total domains renewed within 24 Hours","13","1469422806.29244"
"Total domains renewed within 30 Days","2362","1469422806.29244"
"Total domains","59915","1469430007.14133"
"Total domains registered within 24 hours","28","1469430007.14133"
"Total domains registered within 30 Days","2287","1469430007.14133"
"Total domains renewed within 24 Hours","22","1469430007.14133"
"Total domains renewed within 30 Days","2372","1469430007.14133"
"Total domains","59929","1469437207.29701"
"Total domains registered within 24 hours","40","1469437207.29701"
"Total domains registered within 30 Days","2294","1469437207.29701"
"Total domains renewed within 24 Hours","46","1469437207.29701"
"Total domains renewed within 30 Days","2392","1469437207.29701"
"Total domains","59947","1469444406.67391"
"Total domains registered within 24 hours","54","1469444406.67391"
"Total domains registered within 30 Days","2302","1469444406.67391"
"Total domains renewed within 24 Hours","74","1469444406.67391"
"Total domains renewed within 30 Days","2414","1469444406.67391"
"Total domains","59968","1469451606.77929"
"Total domains registered within 24 hours","75","1469451606.77929"
"Total domains registered within 30 Days","2311","1469451606.77929"
"Total domains renewed within 24 Hours","92","1469451606.77929"
"Total domains renewed within 30 Days","2421","1469451606.77929"
"Total domains","59984","1469458809.63247"
"Total domains registered within 24 hours","86","1469458809.63247"
"Total domains registered within 30 Days","2316","1469458809.63247"
"Total domains renewed within 24 Hours","109","1469458809.63247"
"Total domains renewed within 30 Days","2434","1469458809.63247"
"Total domains","60000","1469466007.27203"
"Total domains registered within 24 hours","96","1469466007.27203"
"Total domains registered within 30 Days","2332","1469466007.27203"
"Total domains renewed within 24 Hours","121","1469466007.27203"
"Total domains renewed within 30 Days","2446","1469466007.27203"
"Total domains","60007","1469473206.90627"
"Total domains registered within 24 hours","102","1469473206.90627"
"Total domains registered within 30 Days","2334","1469473206.90627"
"Total domains renewed within 24 Hours","125","1469473206.90627"
"Total domains renewed within 30 Days","2450","1469473206.90627"
"Total domains","60011","1469480406.41715"
"Total domains registered within 24 hours","105","1469480406.41715"
"Total domains registered within 30 Days","2337","1469480406.41715"
"Total domains renewed within 24 Hours","128","1469480406.41715"
"Total domains renewed within 30 Days","2453","1469480406.41715"
"Total domains","60013","1469487607.18377"
"Total domains registered within 24 hours","105","1469487607.18377"
"Total domains registered within 30 Days","2338","1469487607.18377"
"Total domains renewed within 24 Hours","126","1469487607.18377"
"Total domains renewed within 30 Days","2452","1469487607.18377"
"Total domains","60013","1469494806.6968"
"Total domains registered within 24 hours","105","1469494806.6968"
"Total domains registered within 30 Days","2335","1469494806.6968"
"Total domains renewed within 24 Hours","127","1469494806.6968"
"Total domains renewed within 30 Days","2452","1469494806.6968"
"Total domains","59973","1469502006.26743"
"Total domains registered within 24 hours","105","1469502006.26743"
"Total domains registered within 30 Days","2335","1469502006.26743"
"Total domains renewed within 24 Hours","127","1469502006.26743"
"Total domains renewed within 30 Days","2452","1469502006.26743"
"Total domains","59973","1469509206.31402"
"Total domains registered within 24 hours","103","1469509206.31402"
"Total domains registered within 30 Days","2335","1469509206.31402"
"Total domains renewed within 24 Hours","131","1469509206.31402"
"Total domains renewed within 30 Days","2456","1469509206.31402"
"Total domains","59977","1469516406.31441"
"Total domains registered within 24 hours","103","1469516406.31441"
"Total domains registered within 30 Days","2337","1469516406.31441"
"Total domains renewed within 24 Hours","129","1469516406.31441"
"Total domains renewed within 30 Days","2465","1469516406.31441"
"Total domains","59994","1469523605.82955"
"Total domains registered within 24 hours","107","1469523605.82955"
"Total domains registered within 30 Days","2353","1469523605.82955"
"Total domains renewed within 24 Hours","124","1469523605.82955"
"Total domains renewed within 30 Days","2484","1469523605.82955"
"Total domains","60006","1469530806.62715"
"Total domains registered within 24 hours","100","1469530806.62715"
"Total domains registered within 30 Days","2365","1469530806.62715"
"Total domains renewed within 24 Hours","111","1469530806.62715"
"Total domains renewed within 30 Days","2498","1469530806.62715"
"Total domains","60034","1469538006.4123"
"Total domains registered within 24 hours","107","1469538006.4123"
"Total domains registered within 30 Days","2390","1469538006.4123"
"Total domains renewed within 24 Hours","104","1469538006.4123"
"Total domains renewed within 30 Days","2509","1469538006.4123"
"Total domains","60047","1469545206.11839"
"Total domains registered within 24 hours","104","1469545206.11839"
"Total domains registered within 30 Days","2400","1469545206.11839"
"Total domains renewed within 24 Hours","96","1469545206.11839"
"Total domains renewed within 30 Days","2520","1469545206.11839"
"Total domains","60056","1469552405.54999"
"Total domains registered within 24 hours","97","1469552405.54999"
"Total domains registered within 30 Days","2408","1469552405.54999"
"Total domains renewed within 24 Hours","87","1469552405.54999"
"Total domains renewed within 30 Days","2521","1469552405.54999"
"Total domains","60065","1469559606.51675"
"Total domains registered within 24 hours","99","1469559606.51675"
"Total domains registered within 30 Days","2413","1469559606.51675"
"Total domains renewed within 24 Hours","84","1469559606.51675"
"Total domains renewed within 30 Days","2521","1469559606.51675"
"Total domains","60067","1469566806.20768"
"Total domains registered within 24 hours","97","1469566806.20768"
"Total domains registered within 30 Days","2412","1469566806.20768"
"Total domains renewed within 24 Hours","83","1469566806.20768"
"Total domains renewed within 30 Days","2523","1469566806.20768"
"Total domains","60068","1469574006.92606"
"Total domains registered within 24 hours","96","1469574006.92606"
"Total domains registered within 30 Days","2413","1469574006.92606"
"Total domains renewed within 24 Hours","94","1469574006.92606"
"Total domains renewed within 30 Days","2534","1469574006.92606"
"Total domains","60068","1469581207.30325"
"Total domains registered within 24 hours","96","1469581207.30325"
"Total domains registered within 30 Days","2413","1469581207.30325"
"Total domains renewed within 24 Hours","93","1469581207.30325"
"Total domains renewed within 30 Days","2534","1469581207.30325"
"Total domains","60036","1469588406.23253"
"Total domains registered within 24 hours","96","1469588406.23253"
"Total domains registered within 30 Days","2413","1469588406.23253"
"Total domains renewed within 24 Hours","93","1469588406.23253"
"Total domains renewed within 30 Days","2534","1469588406.23253"
"Total domains","60039","1469595606.32913"
"Total domains registered within 24 hours","99","1469595606.32913"
"Total domains registered within 30 Days","2415","1469595606.32913"
"Total domains renewed within 24 Hours","89","1469595606.32913"
"Total domains renewed within 30 Days","2534","1469595606.32913"
"Total domains","60053","1469602806.1843"
"Total domains registered within 24 hours","109","1469602806.1843"
"Total domains registered within 30 Days","2420","1469602806.1843"
"Total domains renewed within 24 Hours","91","1469602806.1843"
"Total domains renewed within 30 Days","2537","1469602806.1843"
"Total domains","60064","1469610005.68003"
"Total domains registered within 24 hours","103","1469610005.68003"
"Total domains registered within 30 Days","2414","1469610005.68003"
"Total domains renewed within 24 Hours","91","1469610005.68003"
"Total domains renewed within 30 Days","2538","1469610005.68003"
"Total domains","60086","1469617209.81676"
"Total domains registered within 24 hours","113","1469617209.81676"
"Total domains registered within 30 Days","2419","1469617209.81676"
"Total domains renewed within 24 Hours","102","1469617209.81676"
"Total domains renewed within 30 Days","2546","1469617209.81676"
"Total domains","60111","1469624406.8831"
"Total domains registered within 24 hours","108","1469624406.8831"
"Total domains registered within 30 Days","2431","1469624406.8831"
"Total domains renewed within 24 Hours","102","1469624406.8831"
"Total domains renewed within 30 Days","2548","1469624406.8831"
"Total domains","60130","1469631606.78231"
"Total domains registered within 24 hours","114","1469631606.78231"
"Total domains registered within 30 Days","2418","1469631606.78231"
"Total domains renewed within 24 Hours","101","1469631606.78231"
"Total domains renewed within 30 Days","2544","1469631606.78231"
"Total domains","60140","1469638806.12088"
"Total domains registered within 24 hours","115","1469638806.12088"
"Total domains registered within 30 Days","2422","1469638806.12088"
"Total domains renewed within 24 Hours","114","1469638806.12088"
"Total domains renewed within 30 Days","2554","1469638806.12088"
"Total domains","60144","1469646006.3464"
"Total domains registered within 24 hours","110","1469646006.3464"
"Total domains registered within 30 Days","2415","1469646006.3464"
"Total domains renewed within 24 Hours","150","1469646006.3464"
"Total domains renewed within 30 Days","2571","1469646006.3464"
